vin;iin;d1;d2;vout;iout;pin;pout;losses
93.299;5.572;0.86;0.2151;100.037;5.005;519.862028;500.685185;19.176843
89.421;5.837;0.86;0.2509;100.266;5.004;521.950377;501.731064;20.219313
83.194;6.286;0.86;0.3047;100.124;5.004;522.957484;501.020496;21.936988
77.127;6.811;0.86;0.3584;100.096;5.004;525.311997;500.880384;24.431613
71.196;7.437;0.86;0.4122;100.317;5.003;529.484652;501.885951;27.598701
65.501;8.192;0.86;0.465;100.798;5.004;536.584192;504.393192;32.191
59.523;9.118;0.86;0.5197;100.547;5.003;542.730714;503.036641;39.694073
58.015;9.473;0.86;0.5375;100.209;5.002;549.576095;501.245418;48.330677
105.179;4.914;0.9138;0.0538;99.996;5.004;516.849606;500.379984;16.469622
99.506;5.208;0.9138;0.1075;100.122;5.004;518.227248;501.010488;17.21676
93.754;5.539;0.9138;0.1613;100.213;5.003;519.303406;501.365639;17.937767
88.01;5.916;0.9138;0.2151;100.192;5.004;520.66716;501.360768;19.306392
84.316;6.198;0.9138;0.2509;100.379;5.003;522.590568;502.196137;20.394431
78.39;6.675;0.9138;0.3047;100.147;5.003;523.25325;501.035441;22.217809
72.728;7.233;0.9138;0.3584;100.235;5.003;526.041624;501.475705;24.565919
67.21;7.898;0.9138;0.4122;100.414;5.003;530.82458;502.371242;28.453338
61.496;8.7;0.9138;0.465;100.226;5.003;535.0152;501.430678;33.584522
57.45;9.683;0.9138;0.5197;100.404;5.003;556.28835;502.321212;53.967138
56.147;10.057;0.9138;0.5375;100.414;5;564.670379;502.07;62.600379
96.09;5.345;1;0.0538;99.959;5.002;513.60105;499.994918;13.606132
91.008;5.669;1;0.1075;100.236;5.003;515.924352;501.480708;14.443644
85.589;6.031;1;0.1613;100.066;5.002;516.187259;500.530132;15.657127
80.45;6.446;1;0.2151;100.261;5.002;518.5807;501.505522;17.075178
76.995;6.754;1;0.2509;100.335;5.001;520.02423;501.775335;18.248895
71.814;7.279;1;0.3047;100.473;5.002;522.734106;502.565946;20.16816
66.388;7.897;1;0.3584;100.193;5.001;524.266036;501.065193;23.200843
61.171;8.632;1;0.4122;100;5.001;528.028072;500.1;27.928072
57.662;9.52;1;0.465;100.753;5.001;548.94224;503.865753;45.076487
55;10;1;0.5197;100;5;550;500;45
50;11;1;0.5375;100;5;550;500;45
